time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20220119:1130,0.0,0.0,0.0,0.0,-15.02,2.55,0.0
20220119:1230,0.0,3.82,0.14,0.2,-13.72,2.83,0.0
20220119:1330,0.0,18.36,0.62,8.97,-11.45,3.52,0.0
20220119:1430,15.57,60.48,2.13,16.32,-9.19,3.86,0.0
20220119:1530,74.26,109.96,4.21,21.75,-6.88,4.07,0.0
20220119:1630,206.95,160.93,6.85,24.71,-4.46,3.79,0.0
20220119:1730,142.73,132.42,5.55,24.87,-1.96,3.93,0.0
20220119:1830,116.49,124.92,4.98,22.19,-0.21,4.0,0.0
20220119:1930,32.64,79.99,2.87,17.01,1.19,3.79,0.0
20220119:2030,16.5,42.93,1.49,9.84,1.82,3.72,0.0
20220119:2130,0.0,5.35,0.18,1.2,2.03,3.45,0.0
20220119:2230,0.0,0.0,0.0,0.0,2.0,3.24,0.0
20220119:2330,0.0,0.0,0.0,0.0,2.06,3.17,0.0
20220120:0030,0.0,0.0,0.0,0.0,2.23,3.03,0.0
20220120:0130,0.0,0.0,0.0,0.0,1.83,2.83,0.0
20220120:0230,0.0,0.0,0.0,0.0,1.66,2.69,0.0
20220120:0330,0.0,0.0,0.0,0.0,1.51,2.41,0.0
20220120:0430,0.0,0.0,0.0,0.0,0.99,2.0,0.0
20220120:0530,0.0,0.0,0.0,0.0,0.47,1.66,0.0
20220120:0630,0.0,0.0,0.0,0.0,0.3,2.34,0.0
20220120:0730,0.0,0.0,0.0,0.0,-0.31,2.34,0.0
20220120:0830,0.0,0.0,0.0,0.0,-1.65,2.41,0.0
20220120:0930,0.0,0.0,0.0,0.0,-3.18,2.83,0.0
20220120:1030,0.0,0.0,0.0,0.0,-5.47,3.17,0.0
20220120:1130,0.0,0.0,0.0,0.0,-8.12,3.45,0.0
20220120:1230,0.0,8.5,0.31,0.31,-10.45,3.1,0.0
20220120:1330,80.89,86.73,2.81,9.1,-12.29,2.97,0.0
20220120:1430,170.06,166.42,5.94,16.48,-13.5,2.9,0.0
20220120:1530,479.33,215.04,10.07,21.93,-13.91,2.83,0.0
20220120:1630,640.75,220.59,12.3,24.91,-13.84,2.69,0.0
20220120:1730,624.31,225.53,12.25,25.08,-13.58,2.62,0.0
20220120:1830,619.41,189.24,11.03,22.42,-13.24,2.62,0.0
20220120:1930,536.09,138.25,8.26,17.23,-12.94,2.62,0.0
20220120:2030,367.03,91.43,4.44,10.05,-13.18,2.62,0.0
20220120:2130,0.0,8.82,0.3,1.41,-14.0,2.34,0.0
20220120:2230,0.0,0.0,0.0,0.0,-15.39,1.93,0.0
20220120:2330,0.0,0.0,0.0,0.0,-16.41,1.86,0.0
20220121:0030,0.0,0.0,0.0,0.0,-17.02,1.86,0.0
20220121:0130,0.0,0.0,0.0,0.0,-17.66,1.93,0.0
20220121:0230,0.0,0.0,0.0,0.0,-18.19,2.0,0.0
20220121:0330,0.0,0.0,0.0,0.0,-18.82,2.14,0.0
20220121:0430,0.0,0.0,0.0,0.0,-19.44,2.14,0.0
20220121:0530,0.0,0.0,0.0,0.0,-20.03,2.07,0.0
20220121:0630,0.0,0.0,0.0,0.0,-20.55,1.86,0.0
20220121:0730,0.0,0.0,0.0,0.0,-20.29,1.79,0.0
20220121:0830,0.0,0.0,0.0,0.0,-21.01,1.79,0.0
20220121:0930,0.0,0.0,0.0,0.0,-22.1,1.72,0.0
20220121:1030,0.0,0.0,0.0,0.0,-23.47,1.59,0.0
20220121:1130,0.0,0.0,0.0,0.0,-24.12,1.38,0.0
20220121:1230,0.0,5.89,0.22,0.43,-24.3,1.31,0.0
20220121:1330,361.36,87.51,4.15,9.24,-23.9,1.17,0.0
20220121:1430,598.82,116.09,8.41,16.64,-22.4,0.97,0.0
20220121:1530,772.78,129.75,11.69,22.11,-20.31,0.9,0.0
20220121:1630,863.97,136.62,13.47,25.12,-19.43,0.9,0.0
20220121:1730,869.49,136.47,13.57,25.31,-17.32,1.03,0.0
20220121:1830,787.69,129.28,11.96,22.65,-16.32,1.31,0.0
20220121:1930,626.48,115.19,8.86,17.46,-15.72,1.45,0.0
20220121:2030,397.05,89.2,4.69,10.27,-15.76,1.59,0.0
20220121:2130,0.0,8.73,0.29,1.62,-16.5,1.38,0.0
20220121:2230,0.0,0.0,0.0,0.0,-17.63,1.72,0.0
20220121:2330,0.0,0.0,0.0,0.0,-18.61,1.59,0.0
20220122:0030,0.0,0.0,0.0,0.0,-20.21,1.17,0.0
20220122:0130,0.0,0.0,0.0,0.0,-19.9,0.76,0.0
20220122:0230,0.0,0.0,0.0,0.0,-20.49,0.69,0.0
20220122:0330,0.0,0.0,0.0,0.0,-21.42,0.76,0.0
20220122:0430,0.0,0.0,0.0,0.0,-22.67,0.9,0.0
20220122:0530,0.0,0.0,0.0,0.0,-23.62,0.97,0.0
20220122:0630,0.0,0.0,0.0,0.0,-24.57,1.1,0.0
20220122:0730,0.0,0.0,0.0,0.0,-25.9,1.24,0.0
20220122:0830,0.0,0.0,0.0,0.0,-26.74,1.38,0.0
20220122:0930,0.0,0.0,0.0,0.0,-27.21,1.38,0.0
20220122:1030,0.0,0.0,0.0,0.0,-27.45,1.38,0.0
20220122:1130,0.0,0.0,0.0,0.0,-27.93,1.45,0.0
20220122:1230,0.0,6.08,0.22,0.56,-28.38,1.59,0.0
20220122:1330,379.42,87.04,4.32,9.39,-28.04,1.59,0.0
20220122:1430,617.29,113.84,8.63,16.81,-23.8,1.24,0.0
20220122:1530,787.99,128.39,11.92,22.31,-19.26,1.31,0.0
20220122:1630,878.58,135.14,13.71,25.34,-17.1,1.79,0.0
20220122:1730,883.24,135.16,13.81,25.54,-11.99,2.14,0.0
20220122:1830,801.21,126.19,12.16,22.88,-10.12,2.34,0.0
20220122:1930,629.56,115.66,8.99,17.69,-9.3,2.41,0.0
20220122:2030,273.95,108.91,4.28,10.5,-8.86,2.34,0.0
20220122:2130,0.0,15.19,0.51,1.83,-9.49,2.14,0.0
20220122:2230,0.0,0.0,0.0,0.0,-10.44,2.34,0.0
20220122:2330,0.0,0.0,0.0,0.0,-10.71,2.55,0.0
20220123:0030,0.0,0.0,0.0,0.0,-10.88,2.76,0.0
20220123:0130,0.0,0.0,0.0,0.0,-11.22,2.9,0.0
20220123:0230,0.0,0.0,0.0,0.0,-11.34,2.9,0.0
20220123:0330,0.0,0.0,0.0,0.0,-11.08,2.83,0.0
20220123:0430,0.0,0.0,0.0,0.0,-10.92,2.69,0.0
20220123:0530,0.0,0.0,0.0,0.0,-10.56,2.69,0.0
20220123:0630,0.0,0.0,0.0,0.0,-10.45,2.76,0.0
20220123:0730,0.0,0.0,0.0,0.0,-10.91,2.76,0.0
20220123:0830,0.0,0.0,0.0,0.0,-11.33,2.76,0.0
20220123:0930,0.0,0.0,0.0,0.0,-11.73,2.69,0.0
20220123:1030,0.0,0.0,0.0,0.0,-11.85,2.62,0.0
20220123:1130,0.0,0.0,0.0,0.0,-11.54,2.48,0.0
20220123:1230,0.0,7.53,0.28,0.69,-11.55,2.48,0.0
20220123:1330,39.86,66.06,2.24,9.54,-10.68,2.28,0.0
20220123:1430,179.08,141.89,5.49,16.99,-9.73,1.86,0.0
20220123:1530,284.04,188.96,8.01,22.51,-8.12,2.0,0.0
20220123:1630,402.07,214.56,10.02,25.56,-6.5,1.79,0.0
20220123:1730,395.06,229.19,10.3,25.78,-5.12,1.66,0.0
20220123:1830,48.85,176.82,6.15,23.12,-4.17,2.07,0.0
20220123:1930,0.25,116.02,3.89,17.93,-4.06,1.93,0.0
20220123:2030,0.32,68.93,2.31,10.72,-4.68,1.72,0.0
20220123:2130,0.0,11.6,0.39,2.05,-5.5,1.66,0.0
20220123:2230,0.0,0.0,0.0,0.0,-6.68,1.86,0.0
20220123:2330,0.0,0.0,0.0,0.0,-7.81,2.0,0.0
20220124:0030,0.0,0.0,0.0,0.0,-8.91,2.07,0.0
20220124:0130,0.0,0.0,0.0,0.0,-10.17,2.0,0.0
20220124:0230,0.0,0.0,0.0,0.0,-11.63,1.93,0.0
20220124:0330,0.0,0.0,0.0,0.0,-12.68,1.86,0.0
20220124:0430,0.0,0.0,0.0,0.0,-13.5,1.79,0.0
20220124:0530,0.0,0.0,0.0,0.0,-14.25,1.59,0.0
20220124:0630,0.0,0.0,0.0,0.0,-15.32,1.38,0.0
20220124:0730,0.0,0.0,0.0,0.0,-16.67,1.38,0.0
20220124:0830,0.0,0.0,0.0,0.0,-17.78,1.24,0.0
20220124:0930,0.0,0.0,0.0,0.0,-18.38,1.24,0.0
20220124:1030,0.0,0.0,0.0,0.0,-18.84,1.1,0.0
20220124:1130,0.0,0.0,0.0,0.0,-19.44,0.97,0.0
20220124:1230,0.0,6.63,0.24,0.82,-20.48,0.9,0.0
20220124:1330,369.35,89.73,4.42,9.69,-21.59,1.03,0.0
20220124:1430,485.94,144.37,8.01,17.17,-19.26,0.69,0.0
20220124:1530,793.27,123.21,12.08,22.72,-15.39,0.55,0.0
20220124:1630,871.78,134.47,13.81,25.79,-12.79,0.69,0.0
20220124:1730,854.78,143.96,13.8,26.02,-11.09,0.69,0.0
20220124:1830,757.51,142.79,12.11,23.37,-9.9,0.48,0.0
