month,day,Hour,Load (MW),Price ($/MWh)
1,21,1,708.03,167.66
1,21,2,696.227,161.71
1,21,3,695.211,153.93
1,21,4,697.956,142.97
1,21,5,712.863,147.73
1,21,6,748.411,159.56
1,21,7,818.378,182.79
1,21,8,870.384,231.94
1,21,9,849.672,220.73
1,21,10,783.455,191.06
1,21,11,730.9,188.57
1,21,12,700.225,161.19
1,21,13,680.711,140.89
1,21,14,674.589,137.33
1,21,15,698.006,140.63
1,21,16,767.345,144.15
1,21,17,832.734,170.35
1,21,18,880.486,251.07
1,21,19,880.094,212.86
1,21,20,865.215,205.85
1,21,21,849.239,235.06
1,21,22,833.162,175.07
1,21,23,801.761,147.25
1,21,24,762.897,202.15
1,22,1,738.67,202.76
1,22,2,721.616,184.93
1,22,3,714.042,202.04
1,22,4,711.27,234.19
1,22,5,714.239,215.96
1,22,6,732.704,221.61
1,22,7,769.939,230.73
1,22,8,814.231,234.54
1,22,9,815.337,212.35
1,22,10,766.758,154.96
1,22,11,717.989,180.35
1,22,12,686.813,141.67
1,22,13,660.135,143.99
1,22,14,646.657,139.2
1,22,15,670.032,143.6
1,22,16,770.997,166.78
1,22,17,829.529,254.36
1,22,18,876.839,288.52
1,22,19,868.155,185.7
1,22,20,840.849,173.92
1,22,21,808.772,160.57
1,22,22,777.827,142.83
1,22,23,739.251,173.48
1,22,24,695.808,192.93
1,23,1,664.174,153.01
1,23,2,646.105,163.21
1,23,3,636.788,141.76
1,23,4,633.213,148.63
1,23,5,638.171,160.21
1,23,6,652.616,145.82
1,23,7,681.926,159.23
1,23,8,717.473,139.81
1,23,9,740.771,143.77
1,23,10,724.626,167.48
1,23,11,681.614,146.07
1,23,12,660.77,137.24
1,23,13,677.087,134.95
1,23,14,692.496,136.52
1,23,15,721.015,136.85
1,23,16,754.601,156.07
1,23,17,791.831,172.55
1,23,18,836.044,202.66
1,23,19,824.862,171.42
1,23,20,795.875,164.68
1,23,21,761.538,158.01
1,23,22,731.084,140.7
1,23,23,699.909,135.96
1,23,24,664.354,134.77
1,24,1,646.434,141.99
1,24,2,636.457,135.21
1,24,3,637.026,135.33
1,24,4,643.279,135.4
1,24,5,661.014,123.91
1,24,6,704.476,174.65
1,24,7,778.745,275.97
1,24,8,833.24,266.23
1,24,9,830.339,163.95
1,24,10,783.414,162.91
1,24,11,726.907,143.15
1,24,12,668.295,136.82
1,24,13,647.94,115.96
1,24,14,681.959,109.87
1,24,15,717.301,128.05
1,24,16,768.178,145.97
1,24,17,817.473,147.62
1,24,18,859.171,156.04
1,24,19,857.764,156.23
1,24,20,827.242,140.11
1,24,21,798.126,145.67
1,24,22,765.645,125.6
1,24,23,724.524,127.57
1,24,24,683.931,130.75
1,25,1,661.098,129.73
1,25,2,644.793,129.18
1,25,3,633.123,141.37
1,25,4,632.264,145.63
1,25,5,646.586,139.62
1,25,6,681.904,135.17
1,25,7,750.612,161.59
1,25,8,801.729,197.18
1,25,9,811.532,226.26
1,25,10,801.18,206.3
1,25,11,776.436,202.59
1,25,12,726.534,158.37
1,25,13,703.978,134.59
1,25,14,712.987,135.47
1,25,15,716.092,135.21
1,25,16,739.771,138.83
1,25,17,787.253,151.04
1,25,18,839.391,184.42
1,25,19,839.816,165.77
1,25,20,817.37,154.36
1,25,21,789.044,147.65
1,25,22,761.085,142.73
1,25,23,720.48,118.45
1,25,24,681.779,123.06
1,26,1,663.669,126.17
1,26,2,652.583,135.82
1,26,3,645.781,139.64
1,26,4,645.929,155.59
1,26,5,660.322,125.96
1,26,6,704.248,118.98
1,26,7,782.546,159.34
1,26,8,833.708,214.07
1,26,9,795.054,145.05
1,26,10,723.715,101.1
1,26,11,675.679,127.35
1,26,12,647.903,121.29
1,26,13,633.381,120.87
1,26,14,635.989,112.42
1,26,15,663.575,126.69
1,26,16,739.333,139.66
1,26,17,824.101,153.74
1,26,18,877.375,213.82
1,26,19,881.332,181.94
1,26,20,861.775,182.57
1,26,21,842.304,165.29
1,26,22,823.749,150.75
1,26,23,788.209,142.26
1,26,24,755.418,137.24
1,27,1,729.818,137.32
1,27,2,717.98,147.72
1,27,3,712.288,164.44
1,27,4,714.692,164.55
1,27,5,727.022,166.66
1,27,6,766.502,211.57
1,27,7,842.353,232.89
1,27,8,880.519,301.45
1,27,9,850.33,197.78
1,27,10,794.881,156.46
1,27,11,769.545,143.44
1,27,12,748.184,149.16
1,27,13,732.855,146.65
1,27,14,736.155,141.88
1,27,15,753.798,138.9
1,27,16,787.783,153.59
1,27,17,837.124,188.63
1,27,18,881.477,251.35
1,27,19,882.058,236.43
1,27,20,852.973,231.36
1,27,21,821.229,217.93
1,27,22,785.391,163.02
1,27,23,734.984,152.96
1,27,24,689.215,144.59
1,28,1,657.82,170.94
1,28,2,644.661,169.24
1,28,3,632.567,165.76
1,28,4,626.59,193.82
1,28,5,636.668,200.27
1,28,6,670.109,208.91
1,28,7,733.65,261.44
1,28,8,786.214,299
1,28,9,795.138,314.64
1,28,10,784.233,310.46
1,28,11,764.939,334.72
1,28,12,754.693,228.74
1,28,13,743.288,217.23
1,28,14,746.419,225.23
1,28,15,750.193,193.1
1,28,16,767.771,190.87
1,28,17,794.151,223.08
1,28,18,836.526,289.75
1,28,19,835.937,238.37
1,28,20,813.786,218.95
1,28,21,789.213,187.09
1,28,22,765.478,153.07
1,28,23,731.982,137.7
1,28,24,692.595,172.22
1,29,1,667.19,145.37
1,29,2,651.827,152.21
1,29,3,642.095,152.82
1,29,4,642.288,150.74
1,29,5,650.174,152.84
1,29,6,668.011,145.79
1,29,7,705.119,129.34
1,29,8,754.292,114.7
1,29,9,798.36,117.1
1,29,10,821.643,189.44
1,29,11,832.082,281.26
1,29,12,830.47,283.51
1,29,13,831.59,297.4
1,29,14,825.704,254.49
1,29,15,823.804,189.88
1,29,16,842.007,181.35
1,29,17,866.444,194.4
1,29,18,903.996,246.63
1,29,19,891.048,270.69
1,29,20,854.709,203.73
1,29,21,819.118,187.24
1,29,22,787.788,176.35
1,29,23,747.333,164.37
1,29,24,708.126,190.77
1,30,1,682.307,171.47
1,30,2,665.504,175.76
1,30,3,656.97,176.01
1,30,4,652.524,192.55
1,30,5,656.558,197.32
1,30,6,667.839,199.22
1,30,7,699.11,177.34
1,30,8,737.643,157.8
1,30,9,727.176,167.55
1,30,10,676.443,152.11
1,30,11,642.725,168.65
1,30,12,623.164,162.45
1,30,13,591.352,151.4
1,30,14,580.688,149.08
1,30,15,603.245,164.38
1,30,16,669.827,185.29
1,30,17,765.498,200.97
1,30,18,830.912,247.56
1,30,19,835.449,256.47
1,30,20,816.586,231.91
1,30,21,787.95,172.28
1,30,22,755.26,164.65
1,30,23,718.808,158.44
1,30,24,680.119,146.58
1,31,1,659.802,173.83
1,31,2,648.435,161.47
1,31,3,641.926,157.51
1,31,4,644.039,152.41
1,31,5,660.838,220.98
1,31,6,701.941,210.17
1,31,7,778.913,281.96
1,31,8,827.548,348.39
1,31,9,780.526,284.28
1,31,10,696.453,213.24
1,31,11,640.641,230.37
1,31,12,610.951,183.04
1,31,13,603.214,160.41
1,31,14,618.667,159.12
1,31,15,636.941,158.92
1,31,16,701.309,165.51
1,31,17,773.354,237.12
1,31,18,836.617,289.48
1,31,19,839.108,303.89
1,31,20,822.082,296.06
1,31,21,793.781,265.22
1,31,22,764.808,252.46
1,31,23,720.894,191.26
1,31,24,681.452,189.68
2,1,1,661.165,204.39
2,1,2,647.584,217.21
2,1,3,642.254,223.43
2,1,4,645.147,256.4
2,1,5,661.095,221.21
2,1,6,702.306,288.38
2,1,7,775.745,304.65
2,1,8,809.797,325.9
2,1,9,749.058,228.39
2,1,10,640.034,165.46
2,1,11,575.119,158.93
2,1,12,538.562,181.57
2,1,13,509.537,223.99
2,1,14,502.321,181.37
2,1,15,558.81,205.86
2,1,16,644.961,257.12
2,1,17,719.667,312.58
2,1,18,793.102,324.97
2,1,19,795.188,335.9
2,1,20,775.781,281.92
2,1,21,742.05,179
2,1,22,706.63,194.48
2,1,23,664.019,165.88
2,1,24,623.108,157.91
2,2,1,599.141,173.31
2,2,2,584.358,185.36
2,2,3,573.738,188.53
2,2,4,575.619,189.57
2,2,5,591.83,174.28
2,2,6,631.28,176.26
2,2,7,702.882,179.29
2,2,8,748.209,204.56
2,2,9,723.531,193.69
2,2,10,656.619,163.39
2,2,11,572.414,143.08
2,2,12,498.888,111.27
2,2,13,486.411,112.39
2,2,14,516.83,109.58
2,2,15,537.248,102.96
2,2,16,634.513,112.6
2,2,17,716.668,122.55
2,2,18,762.839,142.85
2,2,19,762.208,144.31
2,2,20,739.651,142.31
2,2,21,710.557,120.89
2,2,22,678.984,110.28
2,2,23,636.311,108.62
2,2,24,591.903,91.71
2,3,1,565.414,85.89
2,3,2,550.442,81.25
2,3,3,541.305,70.63
2,3,4,539.449,62.51
